episode,reward,score,steps,epsilon,loss_mean,ma100_reward
1,-1.05,0,6,1.0,0.0,-1.05
2,-1.16,0,17,0.995,0.0,-1.105
3,-1.09,0,10,0.99,0.0,-1.1
4,-1.08,0,9,0.9851,0.0,-1.095
5,-1.08,0,9,0.9801,0.0,-1.092
6,-1.26,0,27,0.9752,0.021376,-1.12
7,-1.07,0,8,0.9704,0.01424,-1.1129
8,-1.06,0,7,0.9655,0.008344,-1.1062
9,-1.04,0,5,0.9607,0.006703,-1.0989
10,-1.13,0,14,0.9559,0.003852,-1.102
11,-1.16,0,17,0.9511,0.005902,-1.1073
12,-1.17,0,18,0.9464,0.005601,-1.1125
13,-1.12,0,13,0.9416,0.007412,-1.1131
14,-1.05,0,6,0.9369,0.003717,-1.1086
15,-1.26,0,27,0.9322,0.002268,-1.1187
16,-1.06,0,7,0.9276,0.007143,-1.115
17,-1.09,0,10,0.9229,0.004045,-1.1135
18,-0.22,1,24,0.9183,0.004341,-1.0639
19,-1.14,0,15,0.9137,0.003768,-1.0679
20,-1.18,0,19,0.9092,0.003837,-1.0735
21,-1.28,0,29,0.9046,0.001985,-1.0833
22,-1.04,0,5,0.9001,0.00204,-1.0814
23,-1.21,0,22,0.8956,0.000903,-1.087
24,-1.12,0,13,0.8911,0.00081,-1.0883
25,-1.13,0,14,0.8867,0.003131,-1.09
26,-0.52,1,54,0.8822,0.001571,-1.0681
27,-1.32,0,33,0.8778,0.000997,-1.0774
28,-1.05,0,6,0.8734,0.000937,-1.0764
29,-1.1,0,11,0.8691,0.001007,-1.0772
30,-1.77,0,78,0.8647,0.000445,-1.1003
31,-1.06,0,7,0.8604,0.000244,-1.099
32,-1.09,0,10,0.8561,0.000907,-1.0988
33,-1.07,0,8,0.8518,0.001094,-1.0979
34,-1.07,0,8,0.8475,0.003865,-1.0971
35,-0.01,1,3,0.8433,0.007438,-1.066
36,-1.09,0,10,0.8391,0.005874,-1.0667
37,-1.06,0,7,0.8349,0.005964,-1.0665
38,-1.1,0,11,0.8307,0.005162,-1.0674
39,-1.06,0,7,0.8266,0.005182,-1.0672
40,-1.18,0,19,0.8224,0.005812,-1.07
41,-0.1,1,12,0.8183,0.00561,-1.0463
42,-1.09,0,10,0.8142,0.005907,-1.0474
43,-1.13,0,14,0.8102,0.005345,-1.0493
44,-1.41,0,42,0.8061,0.004341,-1.0575
45,-1.14,0,15,0.8021,0.00457,-1.0593
46,-1.09,0,10,0.7981,0.005515,-1.06
47,-1.17,0,18,0.7941,0.004723,-1.0623
48,-1.07,0,8,0.7901,0.003682,-1.0625
49,-1.17,0,18,0.7862,0.004145,-1.0647
50,0.72,2,31,0.7822,0.004809,-1.029
51,-1.19,0,20,0.7783,0.005445,-1.0322
52,-0.05,1,7,0.7744,0.004561,-1.0133
53,-0.21,1,23,0.7705,0.005412,-0.9981
54,-1.15,0,16,0.7667,0.007545,-1.0009
55,-1.15,0,16,0.7629,0.004204,-1.0036
56,-0.08,1,10,0.759,0.006626,-0.9871
57,-0.22,1,24,0.7553,0.006108,-0.9737
58,-1.18,0,19,0.7515,0.005512,-0.9772
59,-0.12,1,14,0.7477,0.005977,-0.9627
60,-1.08,0,9,0.744,0.010543,-0.9647
61,-1.05,0,6,0.7403,0.006904,-0.9661
62,-1.07,0,8,0.7366,0.0069,-0.9677
63,-1.19,0,20,0.7329,0.006171,-0.9713
64,-1.16,0,17,0.7292,0.007831,-0.9742
65,-1.05,0,6,0.7256,0.006153,-0.9754
66,-1.11,0,12,0.7219,0.008056,-0.9774
67,-0.06,1,8,0.7183,0.007445,-0.9637
68,-0.09,1,11,0.7147,0.007991,-0.9509
69,-1.21,0,22,0.7112,0.008975,-0.9546
70,-1.13,0,14,0.7076,0.008914,-0.9571
71,-0.19,1,21,0.7041,0.008099,-0.9463
72,-0.04,1,6,0.7005,0.005996,-0.9338
73,-0.05,1,7,0.697,0.005096,-0.9216
74,-0.25,1,27,0.6936,0.005498,-0.9126
75,-1.04,0,5,0.6901,0.008164,-0.9143
76,0.76,2,27,0.6866,0.006991,-0.8922
77,0.6,2,43,0.6832,0.007166,-0.8729
78,-1.2,0,21,0.6798,0.007747,-0.8771
79,-0.08,1,10,0.6764,0.006576,-0.867
80,-0.08,1,10,0.673,0.009436,-0.8571
81,-1.07,0,8,0.6696,0.007707,-0.8598
82,-1.06,0,7,0.6663,0.0079,-0.8622
83,-0.24,1,26,0.663,0.00702,-0.8547
84,0.84,2,19,0.6597,0.007504,-0.8345
85,-0.14,1,16,0.6564,0.008118,-0.8264
86,-0.17,1,19,0.6531,0.008257,-0.8187
87,-1.34,0,35,0.6498,0.009061,-0.8247
88,1.9,3,14,0.6466,0.008748,-0.7938
89,-0.12,1,14,0.6433,0.010572,-0.7862
90,-1.07,0,8,0.6401,0.007945,-0.7893
91,-1.13,0,14,0.6369,0.007986,-0.7931
92,1.73,3,31,0.6337,0.008387,-0.7657
93,-1.18,0,19,0.6306,0.009135,-0.7701
94,-0.04,1,6,0.6274,0.010487,-0.7623
95,-0.09,1,11,0.6243,0.010907,-0.7553
96,-1.09,0,10,0.6211,0.008327,-0.7588
97,-0.17,1,19,0.618,0.008907,-0.7527
98,-1.25,0,26,0.6149,0.00963,-0.7578
99,3.42,5,64,0.6119,0.012643,-0.7156
100,-0.2,1,22,0.6088,0.011432,-0.7104
101,-0.25,1,27,0.6058,0.009588,-0.7024
102,-0.17,1,19,0.6027,0.011613,-0.6925
103,-0.2,1,22,0.5997,0.011878,-0.6836
104,-1.07,0,8,0.5967,0.011523,-0.6835
105,-1.25,0,26,0.5937,0.01081,-0.6852
106,0.68,2,35,0.5908,0.011786,-0.6658
107,-0.2,1,22,0.5878,0.011249,-0.6571
108,0.9,2,13,0.5849,0.010051,-0.6375
109,-0.14,1,16,0.582,0.012048,-0.6285
110,-0.31,1,33,0.579,0.011502,-0.6203
111,-0.23,1,25,0.5762,0.011724,-0.611
112,-1.14,0,15,0.5733,0.010001,-0.6107
113,-0.07,1,9,0.5704,0.008326,-0.6002
114,-0.05,1,7,0.5676,0.013376,-0.5902
115,0.41,2,62,0.5647,0.010786,-0.5735
116,-0.19,1,21,0.5619,0.010902,-0.5648
117,-0.19,1,21,0.5591,0.010063,-0.5558
118,1.87,3,17,0.5563,0.011258,-0.5349
119,-1.08,0,9,0.5535,0.01153,-0.5343
120,1.59,3,45,0.5507,0.016313,-0.5066
121,0.79,2,24,0.548,0.012886,-0.4859
122,-0.05,1,7,0.5452,0.012103,-0.476
123,-1.12,0,13,0.5425,0.013994,-0.4751
124,-0.07,1,9,0.5398,0.011305,-0.4646
125,-0.48,1,50,0.5371,0.012345,-0.4581
126,0.72,2,31,0.5344,0.011326,-0.4457
127,-1.07,0,8,0.5318,0.012019,-0.4432
128,-1.13,0,14,0.5291,0.011428,-0.444
129,-0.05,1,7,0.5264,0.010797,-0.4335
130,0.7,2,33,0.5238,0.012279,-0.4088
131,-0.22,1,24,0.5212,0.011474,-0.4004
132,-0.1,1,12,0.5186,0.010391,-0.3905
