episode,reward,score,steps,epsilon,loss_mean,ma100_reward
1,-0.4546,0,19,1.0,0.0,-0.4546
2,-2.2285,0,130,0.998,0.003092,-1.3416
3,-1.3651,0,17,0.996,0.003968,-1.3494
4,-2.1788,0,57,0.994,0.003314,-1.5568
5,-1.0,0,1,0.992,0.00476,-1.4454
6,-1.5875,0,50,0.99,0.004544,-1.4691
7,-1.0,0,1,0.9881,0.000504,-1.4021
8,-0.037,0,108,0.9861,0.002639,-1.2314
9,-1.4888,0,29,0.9841,0.002731,-1.26
10,-1.5657,0,191,0.9821,0.0018,-1.2906
11,-1.4592,0,37,0.9802,0.002227,-1.3059
12,-3.4445,0,241,0.9782,0.001862,-1.4842
13,-0.8438,0,80,0.9763,0.001435,-1.4349
14,-1.0924,0,29,0.9743,0.001584,-1.4104
15,-2.173,0,24,0.9724,0.002974,-1.4613
16,-4.1869,0,177,0.9704,0.00221,-1.6316
17,-2.715,0,107,0.9685,0.001939,-1.6953
18,-0.6836,0,85,0.9665,0.001484,-1.6391
19,-4.5624,0,235,0.9646,0.001882,-1.793
20,-2.3316,0,52,0.9627,0.002042,-1.8199
21,-2.4594,0,35,0.9608,0.002438,-1.8504
22,-2.3118,0,126,0.9588,0.003194,-1.8713
23,-2.1437,0,155,0.9569,0.002931,-1.8832
24,-1.0,0,1,0.955,0.000747,-1.8464
25,-1.1184,0,85,0.9531,0.003014,-1.8173
26,-1.7022,0,67,0.9512,0.005024,-1.8128
27,-1.3593,0,73,0.9493,0.002678,-1.796
28,-1.185,0,17,0.9474,0.004731,-1.7742
29,-1.1804,0,40,0.9455,0.004143,-1.7537
30,-3.8255,0,221,0.9436,0.003464,-1.8228
31,-1.024,0,4,0.9417,0.005588,-1.797
32,-1.8155,0,50,0.9398,0.002949,-1.7976
33,-1.0,0,1,0.9379,0.000642,-1.7734
34,-1.0,0,1,0.9361,0.012421,-1.7507
35,-1.2556,0,103,0.9342,0.005244,-1.7365
36,-0.6008,0,106,0.9323,0.004533,-1.705
37,0.6106,0,39,0.9305,0.005389,-1.6424
38,-0.3657,0,67,0.9286,0.003994,-1.6088
39,-5.1553,0,209,0.9267,0.004729,-1.6997
40,-2.0122,0,82,0.9249,0.006193,-1.7076
41,-2.7246,0,52,0.923,0.004834,-1.7324
42,-1.1234,0,41,0.9212,0.004147,-1.7179
43,-0.9643,0,32,0.9194,0.005361,-1.7003
44,-1.0668,0,47,0.9175,0.004355,-1.6859
45,-0.2577,0,54,0.9157,0.004519,-1.6542
46,-3.8459,0,233,0.9138,0.005332,-1.7018
47,-2.2709,0,72,0.912,0.005565,-1.714
48,-1.0776,0,10,0.9102,0.004327,-1.7007
49,-1.0,0,1,0.9084,0.002292,-1.6864
50,-1.0349,0,3,0.9066,0.004271,-1.6734
51,-1.4894,0,70,0.9047,0.007252,-1.6698
52,-0.6902,0,132,0.9029,0.00559,-1.6509
53,-1.178,0,39,0.9011,0.005891,-1.642
54,-1.3425,0,106,0.8993,0.006183,-1.6365
55,-0.8707,0,145,0.8975,0.008278,-1.6225
56,-1.0,0,1,0.8957,0.002223,-1.6114
57,-0.639,0,90,0.8939,0.007196,-1.5944
58,-1.661,0,42,0.8922,0.007141,-1.5955
59,-2.1025,0,19,0.8904,0.007751,-1.6041
60,-4.1923,0,348,0.8886,0.006865,-1.6472
61,-2.4683,0,97,0.8868,0.006988,-1.6607
62,-1.9111,0,153,0.885,0.007163,-1.6647
63,-0.9608,0,23,0.8833,0.00852,-1.6536
64,-1.3363,0,70,0.8815,0.005442,-1.6486
65,-1.225,0,33,0.8797,0.00753,-1.6421
66,-2.9538,0,125,0.878,0.009457,-1.662
67,-1.1542,0,130,0.8762,0.007194,-1.6544
68,-0.4014,0,21,0.8745,0.006942,-1.636
69,-1.5195,0,33,0.8727,0.006899,-1.6343
70,-1.933,0,141,0.871,0.007421,-1.6385
71,-1.9879,0,68,0.8692,0.010156,-1.6435
72,-0.9715,0,74,0.8675,0.011134,-1.6341
73,-1.0852,0,11,0.8658,0.014282,-1.6266
74,-2.2725,0,168,0.864,0.008714,-1.6353
75,-3.4544,0,69,0.8623,0.0082,-1.6596
76,-1.0,0,1,0.8606,0.003113,-1.6509
77,-2.2136,0,24,0.8589,0.013252,-1.6582
78,-1.054,0,50,0.8571,0.00974,-1.6505
79,-2.8344,0,164,0.8554,0.011672,-1.6655
80,-1.1827,0,9,0.8537,0.008676,-1.6594
81,-1.0,0,1,0.852,0.005277,-1.6513
82,0.0789,0,65,0.8503,0.013185,-1.6302
83,-2.5782,0,61,0.8486,0.013813,-1.6416
84,-0.8775,0,7,0.8469,0.010638,-1.6325
85,-1.7705,0,286,0.8452,0.011731,-1.6341
86,-0.3985,0,31,0.8435,0.01636,-1.6198
87,-1.0912,0,23,0.8418,0.014432,-1.6137
88,-4.4681,0,168,0.8402,0.013269,-1.6461
89,-2.3778,0,32,0.8385,0.011926,-1.6543
90,-1.226,0,25,0.8368,0.016327,-1.6496
91,-1.1562,0,32,0.8351,0.016702,-1.6442
92,-0.6115,0,14,0.8334,0.01086,-1.6329
93,-1.1012,0,10,0.8318,0.016605,-1.6272
94,-3.9768,0,224,0.8301,0.015026,-1.6522
95,-2.1169,0,65,0.8285,0.016698,-1.6571
96,-1.9194,0,101,0.8268,0.013866,-1.6598
97,-1.0,0,1,0.8251,0.008668,-1.653
98,-1.9376,0,77,0.8235,0.017237,-1.6559
99,-0.3839,0,32,0.8219,0.015229,-1.6431
100,-0.3,0,40,0.8202,0.016043,-1.6297
101,-1.2179,0,15,0.8186,0.012288,-1.6373
102,-1.0,0,1,0.8169,0.009782,-1.625
103,-1.1539,0,22,0.8153,0.015322,-1.6229
104,-1.8144,0,144,0.8137,0.0179,-1.6193
105,-2.3817,0,90,0.812,0.01836,-1.6331
106,-1.5171,0,66,0.8104,0.021022,-1.6324
107,-0.9483,0,9,0.8088,0.023126,-1.6318
108,-0.6898,0,24,0.8072,0.016531,-1.6384
109,1.2882,0,83,0.8056,0.017633,-1.6106
110,-1.1357,0,61,0.8039,0.021016,-1.6063
111,-0.2712,0,33,0.8023,0.017919,-1.5944
112,-1.0,0,1,0.8007,0.009398,-1.57
113,-0.9389,0,5,0.7991,0.014391,-1.5709
114,-1.0,0,1,0.7975,0.006397,-1.57
115,-1.2204,0,44,0.7959,0.019713,-1.5605
116,-0.9693,0,8,0.7944,0.024713,-1.5283
